scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,common_name,url,image_url,user_login,id,species_guess,iconic_taxon_name,taxon_id,num_identification_agreements,num_identification_disagreements,observed_on_string,observed_on,time_observed_at,time_zone,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,user_id,user_name,created_at,updated_at,quality_grade,license,sound_url,oauth_application_id,captive_cultivated
Cervus canadensis nannodes,2024-11-16 16:32:25 -0800,,"California, US",38.0591784753,-122.89564293869999,,Tule Elk,https://www.inaturalist.org/observations/252055327,https://inaturalist-open-data.s3.amazonaws.com/photos/451130334/medium.jpeg,alexmerryman,252055327,Tule Elk,Mammalia,566549,0,0,2024-11-16 16:32:25-08:00,2024-11-16,2024-11-17 00:32:25 UTC,Pacific Time (US & Canada),10,28300,obscured,obscured,true,,,4790152,Alex Merryman,2024-11-17 19:13:49 UTC,2024-11-17 22:55:18 UTC,research,CC-BY-NC-ND,,3,false
Cervus canadensis nannodes,2024-05-02 09:56:48 -0700,,"California, US",39.0037231751,-122.5607536032,,Tule Elk,https://www.inaturalist.org/observations/251979616,https://inaturalist-open-data.s3.amazonaws.com/photos/450977689/medium.jpeg,michaelheine,251979616,Tule Elk,Mammalia,566549,0,0,2024-05-02 09:56:48-07:00,2024-05-02,2024-05-02 16:56:48 UTC,Pacific Time (US & Canada),3,28151,,obscured,true,,,2500359,Mike Heine,2024-11-17 05:16:31 UTC,2024-11-17 05:25:54 UTC,research,CC-BY,,3,false
Cervus canadensis nannodes,2024-11-14 21:03:00 -0800,,"California, US",38.3377501206,-122.9878235707,,Tule Elk,https://www.inaturalist.org/observations/251738974,https://inaturalist-open-data.s3.amazonaws.com/photos/450495038/medium.jpg,scutcomb,251738974,Tule Elk,Mammalia,566549,0,0,2024/11/14 9:03 PM,2024-11-14,2024-11-15 05:03:00 UTC,Pacific Time (US & Canada),122,28270,,obscured,true,,,4416627,,2024-11-15 05:04:00 UTC,2024-11-16 02:35:38 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-02 18:59:00 -0700,,"California, US",38.1903298573,-122.8203567258,,Tule Elk,https://www.inaturalist.org/observations/251730397,https://static.inaturalist.org/photos/450478016/medium.jpg,gwickstrom,251730397,Tule Elk,Mammalia,566549,1,0,2024/11/02 6:59 PM,2024-11-02,2024-11-03 01:59:00 UTC,Pacific Time (US & Canada),122,28300,,obscured,true,,,5455901,Geoff Wickstrom,2024-11-15 03:00:29 UTC,2024-11-15 22:16:55 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-10 11:41:37 -0800,,"California, US",38.2990823357,-122.8909640533,,Tule Elk,https://www.inaturalist.org/observations/251673799,https://inaturalist-open-data.s3.amazonaws.com/photos/450364892/medium.jpeg,kcelshoff,251673799,Tule Elk,Mammalia,566549,1,0,2024-11-10 11:41:37-08:00,2024-11-10,2024-11-10 19:41:37 UTC,Pacific Time (US & Canada),4,28270,,obscured,true,,,380284,Kyle C. Elshoff (he/him),2024-11-14 16:02:05 UTC,2024-11-17 12:07:42 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-11-11 16:31:00 -0800,,"San Luis Obispo County, US-CA, US",35.0128312913,-119.8428169539,,Tule Elk,https://www.inaturalist.org/observations/251513458,https://inaturalist-open-data.s3.amazonaws.com/photos/450047518/medium.jpeg,bobstafford805,251513458,Tule Elk,Mammalia,566549,1,0,2024/11/11 4:31 PM,2024-11-11,2024-11-12 00:31:00 UTC,Pacific Time (US & Canada),50,28734,,obscured,true,,,4296166,,2024-11-13 03:06:02 UTC,2024-11-13 10:19:37 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-12 15:21:53 -0800,,"Mendocino County, US-CA, US",39.299022138,-123.0675847523,,Tule Elk,https://www.inaturalist.org/observations/251504515,https://static.inaturalist.org/photos/450029353/medium.jpeg,cypseloides,251504515,Tule Elk,Mammalia,566549,0,0,2024-11-12 15:21:53-08:00,2024-11-12,2024-11-12 23:21:53 UTC,Pacific Time (US & Canada),4,28121,,obscured,true,,,6097,Matt Brady,2024-11-13 01:18:36 UTC,2024-11-13 07:23:13 UTC,research,CC-BY-NC,,3,false
Cervus canadensis nannodes,2024-11-06 11:40:00 -0800,,"Merced County, US-CA, US",37.1499556804,-120.7261996046,,Tule Elk,https://www.inaturalist.org/observations/251230640,https://inaturalist-open-data.s3.amazonaws.com/photos/449484504/medium.jpg,charadrius,251230640,Cervus canadensis nannodes,Mammalia,566549,0,0,2024/11/06 11:40 AM,2024-11-06,2024-11-06 19:40:00 UTC,Pacific Time (US & Canada),1541,28447,,obscured,true,,,1809129,Paul Donahue,2024-11-10 21:55:48 UTC,2024-11-10 22:03:27 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-06 11:39:00 -0800,,"Merced County, US-CA, US",37.1960405952,-120.7510765313,,Tule Elk,https://www.inaturalist.org/observations/251230636,https://inaturalist-open-data.s3.amazonaws.com/photos/449484503/medium.jpg,charadrius,251230636,Cervus canadensis nannodes,Mammalia,566549,0,0,2024/11/06 11:39 AM,2024-11-06,2024-11-06 19:39:00 UTC,Pacific Time (US & Canada),1541,28447,,obscured,true,,,1809129,Paul Donahue,2024-11-10 21:55:48 UTC,2024-11-10 22:03:32 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-08 18:06:00 -0800,,"California, US",38.3210704263,-122.9302568797,,Tule Elk,https://www.inaturalist.org/observations/251224714,https://inaturalist-open-data.s3.amazonaws.com/photos/449473287/medium.jpg,charadrius,251224714,Cervus canadensis nannodes,Mammalia,566549,1,0,2024/11/08 6:06 PM,2024-11-08,2024-11-09 02:06:00 UTC,Pacific Time (US & Canada),3532,28270,,obscured,true,,,1809129,Paul Donahue,2024-11-10 21:11:43 UTC,2024-11-17 12:07:46 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-08 17:55:00 -0800,,"California, US",38.2760546547,-122.9330964289,,Tule Elk,https://www.inaturalist.org/observations/251224712,https://inaturalist-open-data.s3.amazonaws.com/photos/449473288/medium.jpg,charadrius,251224712,Cervus canadensis nannodes,Mammalia,566549,1,0,2024/11/08 5:55 PM,2024-11-08,2024-11-09 01:55:00 UTC,Pacific Time (US & Canada),3532,28270,,obscured,true,,,1809129,Paul Donahue,2024-11-10 21:11:42 UTC,2024-11-17 12:08:00 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-08 17:02:00 -0800,,"California, US",38.304062741,-122.8697252364,,Tule Elk,https://www.inaturalist.org/observations/251224710,https://inaturalist-open-data.s3.amazonaws.com/photos/449473270/medium.jpg,charadrius,251224710,Cervus canadensis nannodes,Mammalia,566549,1,0,2024/11/08 5:02 PM,2024-11-08,2024-11-09 01:02:00 UTC,Pacific Time (US & Canada),3532,28270,,obscured,true,,,1809129,Paul Donahue,2024-11-10 21:11:42 UTC,2024-11-17 12:08:04 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-08 16:52:00 -0800,,"California, US",38.3340872659,-122.951567906,,Tule Elk,https://www.inaturalist.org/observations/251224708,https://inaturalist-open-data.s3.amazonaws.com/photos/449473264/medium.jpg,charadrius,251224708,Cervus canadensis nannodes,Mammalia,566549,0,0,2024/11/08 4:52 PM,2024-11-08,2024-11-09 00:52:00 UTC,Pacific Time (US & Canada),3532,28270,,obscured,true,,,1809129,Paul Donahue,2024-11-10 21:11:42 UTC,2024-11-11 07:23:03 UTC,research,CC-BY-NC,,NA,false
Cervus canadensis nannodes,2024-11-07 13:49:10 -0800,,"California, US",38.1624877287,-122.816063044,,Tule Elk,https://www.inaturalist.org/observations/251136335,https://inaturalist-open-data.s3.amazonaws.com/photos/449300031/medium.jpeg,kflores13,251136335,Tule Elk,Mammalia,566549,3,0,2024-11-07 13:49:10-08:00,2024-11-07,2024-11-07 21:49:10 UTC,Pacific Time (US & Canada),4,28300,,obscured,true,,,8445901,,2024-11-10 07:21:58 UTC,2024-11-17 12:09:29 UTC,research,CC-BY-NC,,3,false
